emp_no,first_name,second_name,department,wage,project_completion_rate
1,Pamela,Farmer,Research,36682.89,53.12271
2,James,Walker,Research,55915.09,50.93791
3,Charles,Wilkinson,Sales,28988.38,55.60861
4,Christopher,Phillips,Sales,59934.47,51.41067
5,Mark,Daugherty,Testing,27426.32,43.89882
6,Hunter,Phelps,Research,25451.5,38.84874
7,Sarah,Baird,Testing,10429.32,59.30522
8,Barbara,Hill,HR,36038.65,38.04376
9,Timothy,Martinez,Sales,62921.27,41.04054
10,Mark,Mckinney,Testing,34832.78,65.68433
11,Matthew,Harris,Research,62605.57,52.32900
12,Scott,Myers,Sales,61198.09,38.37160
13,Eduardo,Hughes,Research,16296.84,51.05413
14,Arthur,Martin,IT,48568.46,40.95818
15,David,Clarke,HR,81133.39,54.04661
16,Toni,Lee,Research,3118.79,44.67856
17,Erin,Valentine,Testing,97242.18,61.30587
18,Raymond,Jenkins,Research,57637.3,60.64073
19,Mr.,Kevin,HR,38475.61,63.74845
20,Patricia,Jimenez,Testing,36635.65,36.11175
21,Crystal,Welch,Testing,70874,51.11519
22,Tracy,Gonzalez,HR,2519.09,36.91474
23,Rodney,Bradley,Research,54887.26,43.40338
24,Daniel,Huffman,Testing,79643.05,38.25669
25,Daniel,Ferguson,HR,16066.65,74.41967
26,Ricardo,Duran,Testing,37667.76,63.87875
27,Lucas,Simmons,HR,64853.03,44.21425
28,Daniel,Herring,IT,9959.33,55.65695
29,Derrick,Kane,IT,7258.52,63.00311
30,Debra,Carpenter,Testing,8608.18,46.93317
31,Sherry,Jackson,Testing,17880.8,33.35032
32,Brian,Fowler,Sales,98107.75,46.41406
33,Emily,Peters,IT,96296.91,50.06430
34,Brenda,Smith,Testing,54380.1,33.12642
35,Crystal,Watkins,Sales,52653.49,40.60285
36,Carmen,Garcia,Sales,82285.05,61.20989
37,Billy,Nguyen,Research,95432.66,61.73843
38,Colin,Spencer,IT,36508.6,41.56213
39,Lisa,Fleming,Research,44270.24,34.77081
40,Elizabeth,Meyers,Sales,20677.27,50.99755
41,Johnathan,Russell,Research,75406.83,60.00475
42,Brian,Reynolds,IT,31991.47,51.08657
43,Kelli,Collins,HR,44481.58,55.33306
44,Jamie,Foster,Testing,93113.71,44.65867
45,Amanda,Underwood,Testing,59589.67,63.95926
46,Ms.,Carmen,Sales,32790.75,49.77084
47,Kirsten,Swanson,Research,14003.88,69.00635
48,Amy,Pineda,Testing,91441.59,60.48493
49,Brittany,Butler,Research,58948.7,52.57181
50,Shelby,Anderson,Research,70910.24,50.70735
